simap_category,food_group
Beef & buffalo meat,Protein (Meat/Poultry/Seafood/Plant)
"Poultry (chicken, turkey)",Protein (Meat/Poultry/Seafood/Plant)
Pork (pig meat),Protein (Meat/Poultry/Seafood/Plant)
Lamb/mutton & goat meat,Protein (Meat/Poultry/Seafood/Plant)
Fish (finfish),Protein (Meat/Poultry/Seafood/Plant)
Crustaceans (shrimp/prawns),Protein (Meat/Poultry/Seafood/Plant)
Mollusks,Protein (Meat/Poultry/Seafood/Plant)
Soybeans/Tofu,Protein (Meat/Poultry/Seafood/Plant)
Legumes (misc.),Protein (Meat/Poultry/Seafood/Plant)
Beans and pulses (dried),Protein (Meat/Poultry/Seafood/Plant)
Peanuts/groundnuts,Peanuts/groundnuts
Milk (cow's milk),Dairy & Milk Alternatives
Butter,Dairy & Milk Alternatives
Cream,Dairy & Milk Alternatives
Almond milk,Dairy & Milk Alternatives
Oat milk,Dairy & Milk Alternatives
Rice milk,Dairy & Milk Alternatives
Soy milk,Dairy & Milk Alternatives
Cheese,Cheese
Yogurt,Yogurt
Ice cream,Ice cream
Cabbages and other Brassicas (Broccoli),Vegetables
Cassava and Other Roots,Vegetables
Onions and Leeks,Vegetables
Peas,Vegetables
Potatoes,Vegetables
Root Vegetables,Vegetables
Tomatoes,Vegetables
Vegetables (misc.),Vegetables
Apples,Fruits
Berries,Fruits
Citrus Fruit,Fruits
Bananas,Fruits
Fruits (misc.),Fruits
Grains/cereals (except rice),Grains & Starches
Rice,Grains & Starches
"Wheat/Rye (Bread, pasta, baked goods)",Grains & Starches
Oats (Oatmeal),Grains & Starches
Corn (Maize),Grains & Starches
Barley (Beer),Grains & Starches
Vegetable oils,Oils & Fats
Olives (Oil),Oils & Fats
Palm (Oil),Oils & Fats
Rapeseed/canola (Oil),Oils & Fats
Soybeans (Oil),Oils & Fats
Sunflower (Oil),Oils & Fats
Animal fats,Oils & Fats
Eggs,Eggs
Wine Grapes (Wine),Wine Grapes (Wine)
Tree nuts and seeds,Tree nuts and seeds
Sugars and sweeteners,Sugars and sweeteners
Cocoa,Cocoa
Stimulants,Stimulants
Stimulants & Spices (misc.),Stimulants & Spices (misc.)
Liquids,Liquids
